# C3X vane profile coordinates — NASA CR-174827 Table II (Hylton et al.).
# Cascade coordinate system (Fig. 5): x = axial, y = tangential/pitchwise.
# Source values in cm; converted to mm here (x_cm*10). 78 points, closed contour.
# Contour order: pt 1 near leading edge -> pt ~30 trailing edge -> back to LE (pt 78).
# Surface (suction vs pressure) assignment to be confirmed against Fig. 5;
# suction-surface arc = 177.82 mm, pressure-surface arc = 137.23 mm.
# RLE = 11.68 mm, RTE = 1.73 mm. True chord 144.93 mm, axial chord 78.16 mm.
point,x_mm,y_mm
1,1.097,116.548
2,3.894,121.890
3,7.658,126.764
4,12.723,130.233
5,18.743,131.376
6,24.707,129.939
7,29.835,126.538
8,33.985,121.976
9,37.376,116.817
10,40.272,111.364
11,42.885,105.766
12,45.326,100.094
13,47.648,94.369
14,49.870,88.605
15,52.019,82.814
16,54.110,77.003
17,56.157,71.176
18,58.171,65.336
19,60.160,59.487
20,62.126,53.632
21,64.074,47.767
22,65.997,41.897
23,67.894,36.015
24,69.756,30.122
25,71.575,24.221
26,73.335,18.301
27,75.024,12.357
28,76.624,6.391
29,78.115,4.115
30,78.161,-0.053
31,78.082,-0.516
32,77.879,-0.935
33,77.572,-1.288
34,77.180,-1.542
35,76.736,-1.681
36,76.269,-1.699
37,75.816,-1.588
38,75.408,-1.356
39,75.077,-1.026
40,74.849,-0.617
41,73.188,3.559
42,71.483,7.737
43,69.736,11.895
44,67.950,16.035
45,66.116,20.155
46,64.237,24.254
47,62.309,28.329
48,60.328,32.380
49,58.296,36.406
50,56.203,40.401
51,54.051,44.364
52,51.834,48.290
53,49.548,52.177
54,47.191,56.020
55,44.760,59.817
56,42.248,63.564
57,39.654,67.249
58,36.975,70.874
59,34.204,74.430
60,31.339,77.909
61,28.374,81.308
62,25.314,84.615
63,22.149,87.826
64,18.885,90.935
65,15.519,93.932
66,12.052,96.815
67,8.494,99.578
68,4.999,102.116
69,3.848,103.035
70,2.822,104.094
71,1.938,105.273
72,1.212,106.556
73,0.650,107.920
74,0.264,109.342
75,0.064,110.802
76,0.046,112.278
77,0.216,113.741
78,0.569,115.171
