hole_id,row_id,surface,s_over_s0,x_mm,y_mm,z_mm,axis_x,axis_y,diameter_mm,injection_angle_deg,orientation
SS1_z01,SS1,suction,0.241022565,29.417648,126.890405,1.485000,0.985763874,-0.168135616,0.990000,35.000000,forward
SS1_z02,SS1,suction,0.241022565,29.417648,126.890405,4.455000,0.985763874,-0.168135616,0.990000,35.000000,forward
SS1_z03,SS1,suction,0.241022565,29.417648,126.890405,7.425000,0.985763874,-0.168135616,0.990000,35.000000,forward
SS1_z04,SS1,suction,0.241022565,29.417648,126.890405,10.395000,0.985763874,-0.168135616,0.990000,35.000000,forward
SS1_z05,SS1,suction,0.241022565,29.417648,126.890405,13.365000,0.985763874,-0.168135616,0.990000,35.000000,forward
SS2_z01,SS2,suction,0.262977435,32.241140,124.120416,1.485000,0.985763874,-0.168135616,0.990000,35.000000,forward
SS2_z02,SS2,suction,0.262977435,32.241140,124.120416,4.455000,0.985763874,-0.168135616,0.990000,35.000000,forward
SS2_z03,SS2,suction,0.262977435,32.241140,124.120416,7.425000,0.985763874,-0.168135616,0.990000,35.000000,forward
SS2_z04,SS2,suction,0.262977435,32.241140,124.120416,10.395000,0.985763874,-0.168135616,0.990000,35.000000,forward
SS2_z05,SS2,suction,0.262977435,32.241140,124.120416,13.365000,0.985763874,-0.168135616,0.990000,35.000000,forward
PS1_z01,PS1,pressure,0.210838936,20.736091,89.196661,1.485000,0.266995622,-0.963697742,0.990000,30.000000,forward
PS1_z02,PS1,pressure,0.210838936,20.736091,89.196661,4.455000,0.266995622,-0.963697742,0.990000,30.000000,forward
PS1_z03,PS1,pressure,0.210838936,20.736091,89.196661,7.425000,0.266995622,-0.963697742,0.990000,30.000000,forward
PS1_z04,PS1,pressure,0.210838936,20.736091,89.196661,10.395000,0.266995622,-0.963697742,0.990000,30.000000,forward
PS1_z05,PS1,pressure,0.210838936,20.736091,89.196661,13.365000,0.266995622,-0.963697742,0.990000,30.000000,forward
PS2_z01,PS2,pressure,0.239161064,23.559705,86.419780,1.485000,0.266995622,-0.963697742,0.990000,30.000000,forward
PS2_z02,PS2,pressure,0.239161064,23.559705,86.419780,4.455000,0.266995622,-0.963697742,0.990000,30.000000,forward
PS2_z03,PS2,pressure,0.239161064,23.559705,86.419780,7.425000,0.266995622,-0.963697742,0.990000,30.000000,forward
PS2_z04,PS2,pressure,0.239161064,23.559705,86.419780,10.395000,0.266995622,-0.963697742,0.990000,30.000000,forward
PS2_z05,PS2,pressure,0.239161064,23.559705,86.419780,13.365000,0.266995622,-0.963697742,0.990000,30.000000,forward
