# C3X vane profile transformed to NASA Fig. 8 U/V modeling frame
# x_mm = V_mm, y_mm = U_mm; blade min(V,U) shifted to (0,0)
# source profile is configs/c3x_coordinates.csv
point,x_mm,y_mm
1,8.425918413,2.227706811
2,8.098447667,2.476995858
3,7.774316362,2.743364299
4,7.451765618,3.023728278
5,7.130332724,3.317413714
6,6.817271152,3.636513922
7,6.511797922,3.976499642
8,6.211580044,4.329630286
9,5.922070109,4.704411370
10,5.642750643,5.099965335
11,5.368792168,5.507558376
12,5.095065546,5.925585933
13,4.820808923,6.355893013
14,4.546594112,6.798326308
15,4.273031623,7.252693420
16,4.000771880,7.718761140
17,3.730506422,8.196253724
18,3.462969095,8.684851187
19,3.198937221,9.184187611
20,2.939232747,9.693849462
21,2.684723372,10.213373937
22,2.436276380,10.742290675
23,2.189405326,11.285257090
24,1.942630905,11.844946924
25,1.698918534,12.420193864
26,1.461472941,13.009704432
27,1.233744330,13.612054378
28,1.019434362,14.225685181
29,0.822501935,14.848900642
30,0.647168750,15.479863592
31,0.497924652,16.116592726
32,0.376912533,16.759701121
33,0.265312983,17.431100711
34,0.164082018,18.130612931
35,0.080710375,18.851054317
36,0.023185647,19.584690959
37,0.000000000,20.323229200
38,0.020157359,21.057806924
39,0.093180032,21.778985454
40,0.229114753,22.476742099
41,0.421515396,23.161085194
42,0.636906473,23.871095024
43,0.876244193,24.600504068
44,1.142188711,25.340522796
45,1.437517039,26.081824462
46,1.765123477,26.814541046
47,2.128019879,27.528259882
48,2.529335772,28.212020980
49,2.983559930,28.861974394
50,3.504980081,29.486609669
51,4.082129655,30.086777195
52,4.702452026,30.663225677
53,5.352689855,31.216787459
54,6.018884892,31.748378980
55,6.686378774,32.259001119
56,7.349762530,32.746449363
57,8.066521345,33.189243900
58,8.838410998,33.587131269
59,9.652468914,33.945023093
60,10.495119179,34.268101463
61,11.352177000,34.561817450
62,12.208854057,34.831889222
63,13.055140512,35.081967421
64,13.922013052,35.298542685
65,14.812803568,35.481233622
66,15.721786284,35.633759276
67,16.643011955,35.760009731
68,17.570311392,35.864043818
69,18.497299331,35.950086576
70,19.423026017,36.018655083
71,20.359490093,36.062128958
72,21.305497371,36.082736266
73,22.258788233,36.083522847
74,23.217033719,36.067645673
